Date,Open,High,Low,Close,cash,shares,position,market_value,equity,daily_return,signal,executed_position
2025-07-11,615.9154666088177,618.0122289852302,614.7187654701638,616.7858276367188,-1.8189894035458565e-12,22.33229366045045,1,13774.242228387178,13774.242228387177,-0.0035155067463294998,1,1
2025-07-14,616.3308265898004,618.3089087938923,614.9857451789246,617.9627685546875,-1.8189894035458565e-12,22.33229366045045,1,13800.526018588256,13800.526018588254,0.0019081841138897104,1,1
2025-07-15,620.6431287961128,620.9793689858044,615.242942324076,615.3220825195312,-1.8189894035458565e-12,22.33229366045045,1,13741.553442586097,13741.553442586095,-0.004273212189356279,1,1
2025-07-16,616.9044910111767,617.8836320494379,611.276844692317,617.3792114257812,-1.8189894035458565e-12,22.33229366045045,1,13787.493849417873,13787.493849417871,0.0033431741923299896,1,1
2025-07-17,617.557284919235,621.5134493059918,617.3396644874989,621.1573486328125,-1.8189894035458565e-12,22.33229366045045,1,13871.868319014768,13871.868319014766,0.00611963787751435,1,1
2025-07-18,622.4036365954075,622.5717567026577,619.5947932954602,620.7025146484375,-1.8189894035458565e-12,22.33229366045045,1,13861.710832908953,13861.710832908951,-0.0007322363413651001,1,1
2025-07-21,621.87939453125,624.6189973413707,621.4541141003111,621.87939453125,-1.8189894035458565e-12,22.33229366045045,1,13887.993260054998,13887.993260054996,0.0018960449732978724,1,1
2025-07-22,622.2057439990875,622.8288447335428,619.3276609031153,621.9683837890625,-1.8189894035458565e-12,22.33229366045045,1,13889.980594293093,13889.98059429309,0.00014309729281114514,1,1
2025-07-23,624.6288217656338,627.2597045898438,622.8287599296668,627.2597045898438,-1.8189894035458565e-12,22.33229366045045,1,14008.147924267789,14008.147924267787,0.008507379054456532,1,1
2025-07-24,627.6454884244192,629.1785504969665,627.0421878119985,627.4674682617188,-1.8189894035458565e-12,22.33229366045045,1,14012.787763600076,14012.787763600074,0.00033122432439824934,1,1
2025-07-25,628.1301809903662,630.5928838363332,627.8829206987424,630.1181030273438,-1.8189894035458565e-12,22.33229366045045,1,14071.982517572613,14071.982517572611,0.004224338152491125,1,1
2025-07-28,630.4938993278172,631.0477599275997,628.5751571845921,629.9598388671875,-1.8189894035458565e-12,22.33229366045045,1,14068.44811587208,14068.448115872077,-0.0002511658677887274,1,1
2025-07-29,631.3543820995848,631.6708825055948,627.3883778702398,628.2982788085938,-1.8189894035458565e-12,22.33229366045045,1,14031.341668709087,14031.341668709085,-0.0026375650574513854,1,1
2025-07-30,628.9509803708415,630.6917023127537,624.6189756546709,627.5070190429688,-1.8189894035458565e-12,22.33229366045045,1,14013.671023261451,14013.67102326145,-0.0012593696215837946,1,1
2025-07-31,632.4523273568442,632.8380075585872,623.857556644127,625.1531982421875,-1.8189894035458565e-12,22.33229366045045,1,13961.104805914327,13961.104805914325,-0.003751066887460741,1,1
2025-08-01,619.4364414435403,619.476041722763,612.5032535330552,614.9066162109375,-1.8189894035458565e-12,22.33229366045045,1,13732.275126976558,13732.275126976556,-0.016390513653391503,1,1
2025-08-04,618.813325728958,624.3024917393647,618.7243458354196,624.2530517578125,-1.8189894035458565e-12,22.33229366045045,1,13941.002470287842,13941.00247028784,0.015199764160073181,1,1
2025-08-05,624.8662177521945,625.6772386500149,620.168272806011,621.0880737304688,-1.8189894035458565e-12,22.33229366045045,1,13870.321251552328,13870.321251552326,-0.005070024116712868,1,1
2025-08-06,622.1563552914652,626.4982606508958,621.2464542892866,625.8455200195312,-1.8189894035458565e-12,22.33229366045045,1,13976.565939153494,13976.565939153492,0.007659857740445197,1,1
2025-08-07,629.2675537310744,629.9994345491891,622.2156852544556,625.3212890625,-1.8189894035458565e-12,22.33229366045045,1,13964.858659475172,13964.85865947517,-0.0008376363499652539,1,1
2025-08-08,627.1114011688534,630.6620853000642,626.7949007710238,630.1972045898438,-1.8189894035458565e-12,22.33229366045045,1,14073.749036895362,14073.74903689536,0.007797456463786601,0,1
2025-08-11,630.474150672182,631.9478122276477,627.7047873460086,628.9509887695312,14065.857464239585,0.0,0,0.0,14065.857464239585,-0.0005607299544057032,1,0
2025-08-12,631.2949848204768,635.8050095563038,629.8114232578196,635.6467895507812,0.0,22.258694409137213,1,14148.667640759993,14148.667640759993,0.0058873180487533094,1,1
2025-08-13,637.8425547169825,639.1085564704525,635.6370120856271,637.8228149414062,0.0,22.258694409137213,1,14197.103124956438,14197.103124956438,0.003423324755817303,1,1
2025-08-14,635.7457174616427,638.5447207235369,635.300697252298,637.882080078125,0.0,22.258694409137213,1,14198.422289523776,14198.422289523776,9.29178689290655e-05,1,1
2025-08-15,638.9106535836406,639.0095939138803,635.4787099260534,636.3886108398438,0.0,22.258694409137213,1,14165.179614139428,14165.179614139428,-0.002341293610408801,1,1
2025-08-18,635.8150025688236,636.9425240091701,635.1424618060598,636.2501831054688,0.0,22.258694409137213,1,14162.098393502225,14162.098393502225,-0.0002175207601411433,1,1
2025-08-19,636.0721245937336,637.0512656505922,631.4829592777961,632.7984008789062,0.0,22.258694409137213,1,14085.26622775428,14085.26622775428,-0.00542519643721695,1,1
2025-08-20,632.3929060531275,632.6500060324975,626.013578858981,631.1170043945312,0.0,22.258694409137213,1,14047.84053722798,14047.84053722798,-0.002657080804944645,0,1
2025-08-21,629.3071240874224,630.9785456585483,626.864161086776,628.5850830078125,13993.550911479115,0.0,0,0.0,13993.550911479115,-0.0038646242890494342,1,0
2025-08-22,630.7709103705197,639.4151205943501,630.2664897119097,638.2381591796875,-1.8189894035458565e-12,22.162670501920754,1,14145.062023651863,14145.06202365186,0.010827209843389918,1,1
2025-08-25,636.9820621561176,638.218363635622,635.3105801411765,635.4292602539062,-1.8189894035458565e-12,22.162670501920754,1,14082.809322286574,14082.809322286572,-0.0044010200352035955,1,1
2025-08-26,635.1622594491828,638.4359833484747,634.5391586749303,638.0897827148438,-1.8189894035458565e-12,22.162670501920754,1,14141.773604951291,14141.77360495129,0.004186968758527865,1,1
2025-08-27,637.5062179210042,640.2755208793137,637.3578376120881,639.5436401367188,-1.8189894035458565e-12,22.162670501920754,1,14173.994967949078,14173.994967949076,0.002278452752666471,1,1
2025-08-28,640.146950913372,642.3623933153343,638.267809046051,641.8085327148438,-1.8189894035458565e-12,22.162670501920754,1,14224.191035880309,14224.191035880307,0.0035414199062957508,1,1
2025-08-29,640.374480883152,640.7404816664739,636.0919759234915,637.9810180664062,-1.8189894035458565e-12,22.162670501920754,1,14139.363089885714,14139.363089885712,-0.005963639392962183,1,1
2025-09-02,630.5136938017484,633.4709169972102,627.9619508913343,633.2533569335938,-1.8189894035458565e-12,22.162670501920754,1,14034.585493954453,14034.585493954452,-0.007410347641911175,0,1
2025-09-03,635.6270824559713,637.1502445176759,633.4413400681225,636.6853637695312,14073.109918776734,0.0,0,0.0,14073.109918776734,0.0027449634931417943,0,0
2025-09-04,637.3579030521721,642.0361089027498,636.4579021356687,642.0064086914062,14073.109918776734,0.0,0,0.0,14073.109918776734,0.0,1,0
2025-09-05,644.3405588325719,645.0625999768899,636.2799090574998,640.1470336914062,-1.8189894035458565e-12,21.819280447176382,1,13967.54765554086,13967.547655540859,-0.007500990459474166,1,1
2025-09-08,641.5118230975241,642.718484610511,640.1370415028089,641.7195434570312,-1.8189894035458565e-12,21.819280447176382,1,14001.858687122956,14001.858687122955,0.002456482156227624,0,1
2025-09-09,641.8579832056892,643.7272854003053,640.1271612550325,643.203125,13990.87796470097,0.0,0,0.0,13990.87796470097,-0.0007842331984169171,0,0
2025-09-10,646.4570825189741,647.3768835600082,643.4998590892842,645.0625610351562,13990.87796470097,0.0,0,0.0,13990.87796470097,0.0,1,0
2025-09-11,647.0108918753651,651.115436538164,646.4273914384058,650.423095703125,-3.637978807091713e-12,21.60226009857663,1,14050.608887500306,14050.608887500302,0.004269276234846187,1,1
2025-09-12,650.3934866540098,651.8869485652141,649.701206088218,650.20556640625,-3.637978807091713e-12,21.60226009857663,1,14045.909763050151,14045.909763050147,-0.0003344427624296653,1,1
2025-09-15,652.4110731340584,653.7956944276398,652.114372883025,653.6671142578125,-3.637978807091713e-12,21.60226009857663,1,14120.687020083273,14120.687020083269,0.005323774557475458,1,1
2025-09-16,654.2210123755038,654.5276730798186,651.9858301119879,652.7671508789062,-3.637978807091713e-12,21.60226009857663,1,14101.245777092947,14101.245777092943,-0.0013767915798059693,1,1
2025-09-17,652.7770367516476,654.4682584259048,647.1295902463727,651.9561157226562,-3.637978807091713e-12,21.60226009857663,1,14083.725584698544,14083.72558469854,-0.001242457061691904,1,1
2025-09-18,654.6364399867887,657.603563340362,653.0341982051615,655.0023803710938,-3.637978807091713e-12,21.60226009857663,1,14149.53178596319,14149.531785963187,0.004672499536354291,1,1
2025-09-19,656.8877828567474,659.0895125014193,654.9438659954435,658.2465209960938,-3.637978807091713e-12,21.60226009857663,1,14219.6125555408,14219.612555540796,0.004952868450893266,1,1
2025-09-22,656.7588293222589,661.8069717744121,656.7290467709187,661.3607177734375,-3.637978807091713e-12,21.60226009857663,1,14286.886244323128,14286.886244323125,0.004731049353107419,1,1
2025-09-23,661.2416672722171,661.856628548307,656.5406245808955,657.7605590820312,-3.637978807091713e-12,21.60226009857663,1,14209.11467987522,14209.114679875216,-0.005443562937222257,1,1
2025-09-24,659.0497999269948,659.1489540239103,654.2495430702726,655.6677856445312,-3.637978807091713e-12,21.60226009857663,1,14163.906043750952,14163.906043750949,-0.0031816645261014687,1,1
2025-09-25,652.5338627083877,653.9917550046746,649.0328388399253,652.6429443359375,-3.637978807091713e-12,21.60226009857663,1,14098.56263504579,14098.562635045786,-0.004613374905433787,1,1
2025-09-26,654.0909412604747,656.9274266555326,652.4743298182361,656.3819580078125,-3.637978807091713e-12,21.60226009857663,1,14179.333780897769,14179.333780897765,0.0057290340826092745,0,1
2025-09-29,658.9010899003678,659.8135740530697,656.4216318338509,658.2266845703125,14219.52252897828,0.0,0,0.0,14219.52252897828,0.0028343185019494843,1,0
2025-09-30,657.4828203674869,661.1722852976668,656.173659297658,660.7061157226562,0.0,21.60560431989098,1,14274.95490803581,14274.95490803581,0.003898329141823531,1,1
2025-10-01,657.7208144097488,663.8698820443607,657.6117327913598,662.9574584960938,0.0,21.60560431989098,1,14323.596529187147,14323.596529187147,0.0034074798459751143,1,1
2025-10-02,664.9410037342527,665.0600128657511,661.3011766397112,663.7210693359375,0.0,21.60560431989098,1,14340.094802847192,14340.094802847192,0.001151824796686185,0,1
