date,action,position,position_changed,transaction_cost,trade_count,model,model_sha256
2016-05-20,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-05-23,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-05-24,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-05-25,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-05-26,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-05-27,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-05-31,1,1,False,,47,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-06-01,0,0,True,,48,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-06-02,0,0,False,,48,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-06-03,1,1,True,,49,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
2016-06-06,0,0,True,,50,v28_seed_202_FROZEN.zip,eb9c2dcd1e9cc1ac1ae85f1a4e759aae4aad57b10c9a0ce7a1320dfefd2245ad
