Date,action,daily_return,equity
2024-09-17,0,0.0,10784.623941735295
2024-09-18,1,0.0170647165108652,10963.176161731311
2024-09-19,0,0.0,10957.694573650446
2024-09-20,0,0.0,10957.694573650446
2024-09-23,0,0.0,10957.694573650446
2024-09-24,0,0.0,10957.694573650446
2024-09-25,0,0.0,10957.694573650446
2024-09-26,0,0.0,10957.694573650446
2024-09-27,1,0.0040071977835065,10996.103420946793
2024-09-30,0,0.0,10990.60536923632
2024-10-01,0,0.0,10990.60536923632
2024-10-02,0,0.0,10990.60536923632
2024-10-03,0,0.0,10990.60536923632
2024-10-04,0,0.0,10990.60536923632
2024-10-07,0,0.0,10990.60536923632
2024-10-08,0,0.0,10990.60536923632
2024-10-09,0,0.0,10990.60536923632
2024-10-10,0,0.0,10990.60536923632
2024-10-11,0,0.0,10990.60536923632
2024-10-14,0,0.0,10990.60536923632
2024-10-15,0,0.0,10990.60536923632
2024-10-16,0,0.0,10990.60536923632
2024-10-17,0,0.0,10990.60536923632
2024-10-18,0,0.0,10990.60536923632
2024-10-21,1,-0.0005311796703227,10979.274999408093
2024-10-22,0,0.0,10973.785361908389
2024-10-23,0,0.0,10973.785361908389
2024-10-24,0,0.0,10973.785361908389
2024-10-25,1,0.0030913222881787,11002.205014748755
2024-10-28,1,0.0016184868692048,11020.011939097425
2024-10-29,1,-0.0030253159284875,10986.67292144595
2024-10-30,1,-0.0196031936526449,10771.299044568575
2024-10-31,0,0.0,10765.913395046291
2024-11-01,0,0.0,10765.913395046291
2024-11-04,0,0.0,10765.913395046291
2024-11-05,1,0.0248654878162717,11028.096276860151
2024-11-06,1,0.0077321681824567,11113.36737200516
2024-11-07,1,0.0043319212565438,11161.50960435573
2024-11-08,1,0.0009526773732928,11172.14292200759
2024-11-11,1,-0.0031063363644213,11137.438488180445
2024-11-12,0,0.0,11131.869768936356
2024-11-13,0,0.0,11131.869768936356
2024-11-14,0,0.0,11131.869768936356
2024-11-15,1,0.0040974096918398,11171.892859215888
2024-11-18,1,0.0036553682972868,11212.730242194151
2024-11-19,1,0.0003388277383316,11216.529426222636
2024-11-20,1,0.0053682472463352,11276.742529428393
2024-11-21,1,0.0030993944534478,11311.693602677064
2024-11-22,1,0.0033921054211556,11350.064059869155
2024-11-25,1,0.0052215897150214,11409.329437629001
2024-11-26,1,-0.0030301917856291,11374.75698128756
2024-11-27,1,0.0062121544032733,11445.418727955031
2024-11-29,1,0.0017923273750353,11465.932665259887
2024-12-02,1,0.000463842281654,11471.251049628632
2024-12-03,0,0.0,11465.515424103818
2024-12-04,1,-0.0016457396510601,11440.922847665155
2024-12-05,0,0.0,11435.202386241323
2024-12-06,1,-0.0051495705890026,11370.627846351665
2024-12-09,1,-0.0031091967450007,11335.274327263174
2024-12-10,1,0.0077306370084988,11422.903218479001
2024-12-11,1,-0.005152537631705,11364.046279782464
2024-12-12,1,-0.0001985150947229,11361.790345058798
2024-12-13,1,0.0042698498068114,11410.30348336868
2024-12-16,1,-0.0041199914797734,11363.293130235572
2024-12-17,1,-0.0298034611535048,11024.627664852707
2024-12-18,0,0.0,11019.115351020282
2024-12-19,1,0.0120109061557289,11145.88917896483
2024-12-20,0,0.0,11140.316234375348
2024-12-23,0,0.0,11140.316234375348
2024-12-24,1,6.659179477574995e-05,11135.487558983752
2024-12-26,1,-0.0105263777312044,11018.271210716763
2024-12-27,0,0.0,11012.762075111405
2024-12-30,1,-0.0036378196891436,10967.21328258651
2024-12-31,1,-0.0024571239965799,10940.265479654257
2025-01-02,1,0.012503510745669,11077.057206639587
2025-01-03,1,0.0057605099049664,11140.866704396314
2025-01-06,1,-0.011304045433904,11014.92984099675
2025-01-07,1,0.0014609060507264,11031.021618649791
2025-01-08,1,-0.0152674296063698,10862.606272600711
2025-01-10,1,0.0015505849049237,10879.449665915135
2025-01-13,1,0.0013759502770052,10894.419247696616
2025-01-14,1,0.0181899222119736,11092.587886356847
2025-01-15,1,-0.0019231018964384,11071.255709556184
2025-01-16,0,0.0,11065.720081701407
2025-01-17,1,0.0091533756072252,11161.425269586649
2025-01-21,1,0.0056215383319879,11224.16964957925
2025-01-22,1,0.0054579561711285,11285.430675583964
2025-01-23,0,0.0,11279.787960246173
2025-01-24,0,0.0,11279.787960246173
2025-01-27,1,0.0085924197825555,11371.020279142096
2025-01-28,0,0.0,11365.334769002526
2025-01-29,1,0.0053669791111989,11420.619117157896
2025-01-30,0,0.0,11414.908807599317
2025-01-31,1,-0.0067295527093108,11332.422531318049
2025-02-03,0,0.0,11326.756320052391
2025-02-04,0,0.0,11326.756320052391
2025-02-05,0,0.0,11326.756320052391
2025-02-06,0,0.0,11326.756320052391
2025-02-07,0,0.0,11326.756320052391
2025-02-10,0,0.0,11326.756320052391
2025-02-11,0,0.0,11326.756320052391
2025-02-12,0,0.0,11326.756320052391
2025-02-13,0,0.0,11326.756320052391
2025-02-14,0,0.0,11326.756320052391
2025-02-18,0,0.0,11326.756320052391
2025-02-19,0,0.0,11326.756320052391
2025-02-20,0,0.0,11326.756320052391
2025-02-21,1,-0.0045505103440397,11269.57619135445
2025-02-24,0,0.0,11263.941403258774
2025-02-25,1,0.0005046930393417,11263.991422962512
2025-02-26,0,0.0,11258.35942725103
2025-02-27,0,0.0,11258.35942725103
2025-02-28,0,0.0,11258.35942725103
2025-03-03,0,0.0,11258.35942725103
2025-03-04,0,0.0,11258.35942725103
2025-03-05,0,0.0,11258.35942725103
2025-03-06,0,0.0,11258.35942725103
2025-03-07,0,0.0,11258.35942725103
2025-03-10,0,0.0,11258.35942725103
2025-03-11,0,0.0,11258.35942725103
2025-03-12,0,0.0,11258.35942725103
2025-03-13,0,0.0,11258.35942725103
2025-03-14,1,0.0077113367901799,11339.503840285211
2025-03-17,1,-0.0108084878986289,11216.940950251033
2025-03-18,1,0.0108909566507349,11339.104167894071
2025-03-19,1,-0.002891808087189,11306.313654759877
2025-03-20,1,0.0003297821736047,11310.0422754524
2025-03-21,1,0.0179085994617893,11512.589292459383
2025-03-24,1,0.0024038215328545,11540.263502499507
2025-03-25,0,0.0,11534.493370748258
2025-03-26,0,0.0,11534.493370748258
2025-03-27,0,0.0,11534.493370748258
2025-03-28,1,0.0067126892371522,11606.114879833958
2025-03-31,1,0.0028246643463605,11638.89825873479
2025-04-01,1,0.0063282975946048,11712.552670589392
2025-04-02,0,0.0,11706.696394254097
2025-04-03,0,0.0,11706.696394254097
2025-04-04,1,-0.0017811884523963,11680.001639540033
2025-04-07,0,0.0,11674.161638720263
2025-04-08,1,0.1050193779894761,12893.724745150985
2025-04-09,0,0.0,12887.27788277841
2025-04-10,0,0.0,12887.27788277841
2025-04-11,0,0.0,12887.27788277841
2025-04-14,0,0.0,12887.27788277841
2025-04-15,0,0.0,12887.27788277841
2025-04-16,1,0.0014268350248789,12899.213069285788
2025-04-17,1,-0.023802707123928,12592.176878468435
2025-04-21,1,0.0260177597421915,12919.797111123607
2025-04-22,1,0.0154953629188225,13119.994056198024
2025-04-23,1,0.0210490309818542,13396.15721756868
2025-04-24,0,0.0,13389.459138959895
2025-04-25,0,0.0,13389.459138959895
2025-04-28,0,0.0,13389.459138959895
2025-04-29,0,0.0,13389.459138959895
2025-04-30,1,0.0070869804748643,13477.607799459476
2025-05-01,0,0.0,13470.868995559747
2025-05-02,0,0.0,13470.868995559747
2025-05-05,0,0.0,13470.868995559747
2025-05-06,0,0.0,13470.868995559747
2025-05-07,0,0.0,13470.868995559747
2025-05-08,1,-0.0012740024202869,13446.98022231811
2025-05-09,1,0.0330474294146709,13891.368352055644
2025-05-12,1,0.0066038608215337,13983.105015273279
2025-05-13,1,0.0012780826440004,14000.976579102535
2025-05-14,0,0.0,13993.976090812985
2025-05-15,0,0.0,13993.976090812985
2025-05-16,0,0.0,13993.976090812985
2025-05-19,0,0.0,13993.976090812985
2025-05-20,0,0.0,13993.976090812985
2025-05-21,1,0.0003948143188683,13992.501362395064
2025-05-22,1,-0.0068257451089891,13896.992114658171
2025-05-23,1,0.0207904687426354,14185.917094834624
2025-05-27,0,0.0,14178.824136287207
2025-05-28,1,0.0039473365509063,14227.675330685724
2025-05-29,1,-0.00111840103268,14211.76308390325
2025-05-30,1,0.0056329207040395,14291.816818419473
2025-06-02,1,0.0057024522486979,14373.315221373648
2025-06-03,1,-0.0002684085986693,14369.457299976848
2025-06-04,1,-0.0048328596233543,14300.011729982276
2025-06-05,1,0.0102690309737645,14446.85899336266
2025-06-06,1,0.0009013320810069,14459.880410843163
2025-06-09,1,0.0056697178052858,14541.863852270824
2025-06-10,1,-0.0028520773519503,14500.38933172262
2025-06-11,0,0.0,14493.139137056758
2025-06-12,1,-0.0111799572693864,14323.94090757479
2025-06-13,0,0.0,14316.778937121004
2025-06-16,0,0.0,14316.778937121004
2025-06-17,1,-0.0001508166576998,14307.462418508496
2025-06-18,1,-0.0023484742531844,14273.861711390226
2025-06-20,1,0.0098774857395875,14414.851576893328
2025-06-23,1,0.0110471860395073,14574.095123995156
2025-06-24,1,0.0005603844216792,14582.262219862714
2025-06-25,0,0.0,14574.971088752784
2025-06-26,1,0.0049683222933454,14640.06055041663
2025-06-27,1,0.0047810789702977,14710.055836038113
2025-06-30,1,-0.0003235144354958,14705.296920628205
2025-07-01,0,0.0,14697.944272167892
2025-07-02,1,0.0078813994596407,14806.377749891279
2025-07-03,1,-0.007452168554898,14696.038127211597
2025-07-07,1,-0.0005476359239223,14687.990048793805
2025-07-08,1,0.0059966560783442,14776.068873598564
2025-07-09,1,0.002820258275139,14817.741204113356
2025-07-10,1,-0.0035153098751226,14765.652252131526
2025-07-11,1,0.0019080849682644,14793.826371240437
2025-07-14,1,-0.0042733109576953,14730.607750901972
2025-07-15,1,0.0033432737161649,14779.856204618698
2025-07-16,1,0.0061196378775145,14870.303572472701
2025-07-17,1,-0.0007323346017438,14859.413534628145
2025-07-18,1,0.0018961434921311,14887.589114898718
2025-07-21,1,0.0001431954391026,14889.720949759207
2025-07-22,1,0.0085073782196083,15016.393437463234
2025-07-23,1,0.000331126987735,15021.365770588825
2025-07-24,1,0.0042243381524911,15084.821099116049
2025-07-25,1,-0.0002510690047468,15081.03376809591
2025-07-28,1,-0.0026375648019045,15041.256564252846
2025-07-29,1,-0.001259466642834,15022.31260334386
2025-07-30,1,-0.003751164153554,14965.961442802714
2025-07-31,1,-0.0163905152536356,14720.661623489135
2025-08-01,1,0.0151999641872668,14944.415152979043
2025-08-04,1,-0.0050700236210009,14868.646615151394
2025-08-05,1,0.007659758716372,14982.536860662456
2025-08-06,1,-0.0008376363499652,14969.986943173271
2025-08-07,1,0.0077974564637866,15086.714764626118
2025-08-08,0,0.0,15079.171407243806
2025-08-11,1,0.0106459807696153,15232.084124079023
2025-08-12,1,0.003423228406564,15284.227027143745
2025-08-13,1,9.29178689290655e-05,15285.647204947334
2025-08-14,1,-0.0023412936104089,15249.859016815426
2025-08-15,1,-0.000217520760141,15246.541855890046
2025-08-18,1,-0.005425292366708,15163.824908740591
2025-08-19,1,-0.0026569846084518,15123.53485935281
2025-08-20,0,0.0,15115.973091923135
2025-08-21,1,0.0153567344506935,15340.431024121299
2025-08-22,1,-0.0044010200352035,15272.917479835483
2025-08-25,1,0.0041869687585276,15336.864708175126
2025-08-26,1,0.0022785484055947,15371.81049680276
2025-08-27,1,0.0035413241328445,15426.2470602806
2025-08-28,1,-0.0059636393929621,15334.250485626346
2025-08-29,1,-0.0074102519726757,15220.619825715728
2025-09-02,0,0.0,15213.00951580287
2025-09-03,0,0.0,15213.00951580287
2025-09-04,1,-0.0028962888998979,15161.363771085606
2025-09-05,1,0.0024566730815143,15198.610285341078
2025-09-08,0,0.0,15191.010980198407
2025-09-09,0,0.0,15191.010980198407
2025-09-10,1,0.0083102904575622,15309.59406744098
2025-09-11,1,-0.0003347242484962,15304.469575071973
2025-09-12,1,0.0053240571686796,15385.951446025974
2025-09-15,1,-0.0013768848246955,15364.76676296644
2025-09-16,1,-0.0012424570616919,15345.676700000542
2025-09-17,1,0.0046724059178502,15417.37793062704
2025-09-18,1,0.0049529620955317,15493.739619129925
2025-09-19,1,0.0047309566292503,15567.039829292928
2025-09-22,1,-0.0054433788650938,15482.302533694081
2025-09-23,1,-0.0031817570232213,15433.041608871863
2025-09-24,1,-0.0046133749054336,15361.843201998981
2025-09-25,1,0.0057290340826092,15449.851725274933
2025-09-26,0,0.0,15442.126799412297
2025-09-29,1,0.0037668347553583,15492.544591967306
2025-09-30,1,0.0034075722246513,15545.336556608067
2025-10-01,1,0.0011517326256851,15563.240627897569
2025-10-02,0,0.0,15555.45900758362
2025-10-03,1,0.0035862719664676,15603.439491590982
2025-10-06,1,-0.0037075138893177,15545.58952295478
2025-10-07,1,0.0059630552695713,15638.288732478228
2025-10-08,0,0.0,15630.46958811199
2025-10-09,1,-0.0270278621788456,15200.407404588716
2025-10-10,1,0.0153441181351683,15433.644251507412
2025-10-13,1,-0.0012216462876413,15414.789797302781
2025-10-14,1,0.0044395299096053,15483.224217658188
2025-10-15,1,-0.0068101345623303,15377.781377277204
2025-10-16,1,0.0056762051642531,15465.06881934566
2025-10-17,1,0.0104005002629232,15625.913271667392
2025-10-20,1,-1.494287878323064e-05,15625.679775539496
2025-10-21,0,0.0,15617.866935651728
2025-10-22,1,0.0059299627059643,15702.625063974794
2025-10-23,0,0.0,15694.773751442808
2025-10-24,0,0.0,15694.773751442808
2025-10-27,0,0.0,15694.773751442808
2025-10-28,0,0.0,15694.773751442808
2025-10-29,0,0.0,15694.773751442808
2025-10-30,0,0.0,15694.773751442808
2025-10-31,1,0.0018767398754619,15716.366644798907
2025-11-03,0,0.0,15708.50846147651
2025-11-04,1,0.0034654763403132,15755.064452928422
2025-11-05,1,-0.0107294537191834,15586.021218037975
2025-11-06,1,0.000984565078659,15601.366670244495
2025-11-07,1,0.0156043703463399,15844.816173676036
2025-11-10,0,0.0,15836.893765589199
2025-11-11,0,0.0,15836.893765589199
2025-11-12,0,0.0,15836.893765589199
2025-11-13,0,0.0,15836.893765589199
2025-11-14,0,0.0,15836.893765589199
2025-11-17,0,0.0,15836.893765589199
2025-11-18,0,0.0,15836.893765589199
2025-11-19,0,0.0,15836.893765589199
2025-11-20,0,0.0,15836.893765589199
2025-11-21,0,0.0,15836.893765589199
2025-11-24,1,0.0094058360392934,15977.86006522418
2025-11-25,0,0.0,15969.87113519157
2025-11-26,0,0.0,15969.87113519157
2025-11-28,1,-0.0045654703011644,15889.012682229028
2025-12-01,0,0.0,15881.068175887915
2025-12-02,0,0.0,15881.068175887915
2025-12-03,0,0.0,15881.068175887915
2025-12-04,0,0.0,15881.068175887915
2025-12-05,0,0.0,15881.068175887915
2025-12-08,0,0.0,15881.068175887915
2025-12-09,1,0.0066322352527572,15978.401958517432
2025-12-10,1,0.0023269460314641,16015.582837543943
2025-12-11,1,-0.0107520755752826,15843.382080492473
2025-12-12,1,-0.0015108085502177,15819.4457633809
2025-12-15,0,0.0,15811.53604049921
2025-12-16,0,0.0,15811.53604049921
2025-12-17,0,0.0,15811.53604049921
2025-12-18,0,0.0,15811.53604049921
2025-12-19,0,0.0,15811.53604049921
2025-12-22,0,0.0,15811.53604049921
2025-12-23,0,0.0,15811.53604049921
2025-12-24,0,0.0,15811.53604049921
2025-12-26,0,0.0,15811.53604049921
2025-12-29,0,0.0,15811.53604049921
2025-12-30,0,0.0,15811.53604049921
2025-12-31,0,0.0,15811.53604049921
2026-01-02,0,0.0,15811.53604049921
2026-01-05,0,0.0,15811.53604049921
2026-01-06,1,-0.0032234122811981,15752.688656571137
2026-01-07,1,-0.0001015273142732,15751.089328399255
2026-01-08,1,0.0066133829968886,15855.257314746164
2026-01-09,0,0.0,15847.329686088793
2026-01-12,1,-0.0019995067653818,15807.73502174664
2026-01-13,1,-0.0049152529031389,15730.036006288949
2026-01-14,1,0.0027232975079871,15772.873574145424
2026-01-15,1,-0.000837905189162,15759.65740152965
2026-01-16,0,0.0,15751.777572828885
2026-01-20,0,0.0,15751.777572828885
2026-01-21,1,0.0052232576727144,15826.13613931211
2026-01-22,0,0.0,15818.223071242455
2026-01-23,1,0.0050782317618727,15890.602398222198
2026-01-26,1,0.0039841653784709,15953.913186140242
2026-01-27,1,-0.0001006645803248,15952.30719216482
2026-01-28,1,-0.0019843771548337,15920.6517982058
2026-01-29,1,-0.0029824841055743,15873.168707267267
2026-01-30,1,0.0049712227370615,15952.077764454047
2026-02-02,1,-0.0084553859011725,15817.196791030075
2026-02-03,1,-0.0048438537259933,15740.580603419075
2026-02-04,0,0.0,15732.710313117366
2026-02-05,0,0.0,15732.710313117366
2026-02-06,1,0.0048217267165773,15800.664858186916
2026-02-09,1,-0.0026370577706994,15758.997592140417
2026-02-10,0,0.0,15751.118093344347
2026-02-11,0,0.0,15751.118093344347
2026-02-12,1,0.000704499103119,15754.333634543274
2026-02-13,1,0.0016134830190519,15779.75298433909
2026-02-17,1,0.0050377075505767,15859.246765094531
2026-02-18,1,-0.0026373443235495,15817.420470662839
2026-02-19,1,0.0072318492890963,15931.80967164894
2026-02-20,0,0.0,15923.843766813116
2026-02-23,1,0.0072684752701983,16031.56603852298
2026-02-24,0,0.0,16023.55025550372
2026-02-25,0,0.0,16023.55025550372
2026-02-26,1,-0.0048019408586112,15938.632811774392
2026-02-27,1,0.0005685229860479,15947.694290894064
2026-03-02,1,-0.0088142509124856,15807.12731193851
2026-03-03,1,0.0070553559582975,15918.652221802362
2026-03-04,0,0.0,15910.692895691462
2026-03-05,1,-0.013107129910862,15694.298302247336
